,Player,First year,Last year,Position,Height,Weight,Birth Date,College,id
2373,Ed Leede,1950,1951,F-G,6-3,185,"July 17, 1927",Dartmouth College,leedeed01
2374,Hank Lefkowitz,1947,1947,F,6-2,190,"August 31, 1923",Case Western Reserve University,lefkoha01
2375,Tim Legler,1990,2000,G,6-4,200,"December 26, 1966",La Salle University,legleti01
2376,George Lehmann,1968,1974,G,6-0,180,"May 1, 1942",Campbell University,lehmage01
2377,Alex Len,2014,2018,C,7-1,260,"June 16, 1993",University of Maryland,lenal01
2378,Voshon Lenard,1996,2006,G,6-4,205,"May 14, 1973",University of Minnesota,lenarvo01
2379,Leary Lentz,1968,1969,F,6-6,200,"February 23, 1945",University of Houston,lentzle01
2380,Gary Leonard,1990,1992,C,7-1,250,"February 16, 1967",University of Missouri,leonaga01
2381,Kawhi Leonard,2012,2018,F,6-7,230,"June 29, 1991",San Diego State University,leonaka01
2382,Meyers Leonard,2013,2018,C-F,7-1,245,"February 27, 1992",University of Illinois at Urbana-Champaign,leoname01
2383,Slick Leonard,1957,1963,G,6-3,185,"July 17, 1932",Indiana University,leonasl01
2384,Jim Les,1989,1995,G,5-11,165,"August 18, 1963",Bradley University,lesji01
2385,Travis Leslie,2012,2012,G,6-4,205,"March 29, 1990",University of Georgia,leslitr01
2386,Ronnie Lester,1981,1986,G,6-2,175,"January 1, 1959",University of Iowa,lestero01
2387,Clifford Lett,1990,1991,G,6-3,170,"December 23, 1965",University of Florida,lettcl01
2388,Jon Leuer,2012,2018,F,6-10,228,"May 14, 1989",University of Wisconsin,leuerjo01
2389,Andrew Levane,1949,1953,F-G,6-2,190,"April 11, 1920",St. John's University,levanan01
2390,Fat Lever,1983,1994,G,6-3,170,"August 18, 1960",Arizona State University,leverfa01
2391,Caris LeVert,2017,2018,G-F,6-7,203,"August 25, 1994",University of Michigan,leverca01
2392,Cliff Levingston,1983,1995,F,6-8,210,"January 4, 1961",Wichita State University,levincl01
2393,Bobby Lewis,1968,1971,G,6-3,175,"March 20, 1945",University of North Carolina,lewisbo01
2394,Cedric Lewis,1996,1996,F-C,6-10,235,"September 24, 1969",University of Maryland,lewisce01
2395,Freddie Lewis,1949,1950,F-G,6-2,195,"January 6, 1921",Eastern Kentucky University,lewisfr01
2396,Freddie Lewis,1967,1977,G,6-0,175,"July 1, 1943",Arizona State University,lewisfr02
2397,Grady Lewis,1947,1949,F-C,6-7,215,"March 25, 1917",University of Oklahoma,lewisgr01
2398,Martin Lewis,1996,1997,F,6-5,210,"April 28, 1975",Seward County Community College,lewisma01
2399,Mike Lewis,1969,1974,C-F,6-8,225,"March 18, 1946",Duke University,lewismi01
2400,Quincy Lewis,2000,2004,F,6-7,215,"June 26, 1977",University of Minnesota,lewisqu01
2401,Ralph Lewis,1988,1990,G,6-6,200,"March 28, 1963",La Salle University,lewisra01
2402,Rashard Lewis,1999,2014,F,6-10,215,"August 8, 1979",,lewisra02
2403,Reggie Lewis,1988,1993,G-F,6-7,195,"November 21, 1965",Northeastern University,lewisre01
2404,Marcus Liberty,1991,1994,F,6-8,205,"October 27, 1968",University of Illinois at Urbana-Champaign,liberma01
2405,Todd Lichti,1990,1994,G-F,6-4,205,"January 8, 1967",Stanford University,lichtto01
2406,Barry Liebowitz,1968,1968,G,6-2,180,"September 10, 1945",Long Island University,lieboba01
2407,DeAndre Liggins,2012,2018,G,6-6,209,"March 31, 1988",University of Kentucky,liggide01
2408,Bill Ligon,1975,1975,G,6-4,180,"May 29, 1952",Vanderbilt University,ligonbi01
2409,Goose Ligon,1968,1974,F-C,6-7,210,"February 22, 1944",,ligongo01
2410,Damian Lillard,2013,2018,G,6-3,195,"July 15, 1990",Weber State University,lillada01
2411,Jeremy Lin,2011,2018,G,6-3,200,"August 23, 1988",Harvard University,linje01
2412,Steve Lingenfelter,1983,1984,F,6-9,225,"June 10, 1958",South Dakota State University,lingest01
2413,Alton Lister,1982,1998,C-F,7-0,240,"October 1, 1958",Arizona State University,listeal01
2414,Samuel Little,1970,1970,G,6-0,180,"March 29, 1946",Delta State University,littlsa01
2415,Gene Littles,1970,1975,G,6-0,160,"June 29, 1943",High Point University,littlge01
2416,Randy Livingston,1997,2007,G,6-4,209,"April 2, 1975",Louisiana State University,livinra01
2417,Shaun Livingston,2005,2018,G,6-7,192,"September 11, 1985",,livinsh01
2418,Ron Livingstone,1950,1951,C,6-10,220,"October 9, 1925",University of Wyoming,livinro01
2419,Horacio Llamas Grey,1997,1998,C,6-11,285,"July 17, 1973",Grand Canyon University,llamaho01
2420,Bobby Lloyd,1968,1969,G,6-2,184,"January 3, 1946",Rutgers University,lloydbo01
2421,Chuck Lloyd,1971,1971,C-F,6-8,220,"May 22, 1947",Yankton College,lloydch01
2422,Earl Lloyd,1951,1960,F-C,6-5,200,"April 3, 1928",West Virginia State University,lloydea01
2423,Lewis Lloyd,1982,1990,G-F,6-6,205,"February 22, 1959",Drake University,lloydle01
2424,Scott Lloyd,1977,1983,C-F,6-10,230,"December 19, 1952",Arizona State University,lloydsc01
2425,Riney Lochmann,1968,1970,F,6-6,215,"May 26, 1944",University of Kansas,lochmri01
2426,Bob Lochmueller,1953,1953,F,6-5,185,"June 5, 1927",University of Louisville,lochmbo01
2427,Rob Lock,1989,1989,F,6-9,225,"May 22, 1966",University of Kentucky,lockro01
2428,Darrell Lockhart,1984,1984,C,6-9,245,"September 14, 1960",Auburn University,lockhda01
2429,Ian Lockhart,1991,1991,F,6-8,240,"June 25, 1967",University of Tennessee,lockhia01
2430,Kevin Loder,1982,1984,F-G,6-6,205,"March 15, 1959",Alabama State University,loderke01
2431,Don Lofgran,1951,1954,F-C,6-5,200,"November 8, 1929",University of San Francisco,lofgrdo01
2432,Henry Logan,1969,1970,G,6-0,180,"March 14, 1946",Western Carolina University,loganhe01
2433,John Logan,1947,1951,G,6-2,175,"January 1, 1921",Indiana University,loganjo01
2434,Brad Lohaus,1988,1998,F-C,6-11,230,"September 29, 1964",University of Iowa,lohaubr01
2435,Art Long,2001,2003,F,6-9,250,"October 1, 1972",University of Cincinnati,longar01
2436,Grant Long,1989,2003,F,6-8,225,"March 12, 1966",Eastern Michigan University,longgr01
2437,John Long,1979,1997,G-F,6-5,195,"August 28, 1956",University of Detroit Mercy,longjo01
2438,Paul Long,1968,1971,G,6-2,180,"February 8, 1944",Wake Forest University,longpa01
2439,Shawn Long,2017,2017,C-F,6-9,255,"January 29, 1993",University of Louisiana at Lafayette,longsh01
2440,Willie Long,1972,1974,F-C,6-8,225,"March 1, 1950",University of New Mexico,longwi01
2441,Luc Longley,1992,2001,C,7-2,265,"January 19, 1969",University of New Mexico,longllu01
2442,Kevon Looney,2016,2018,F-C,6-9,220,"February 6, 1996","University of California, Los Angeles",looneke01
2443,Brook Lopez,2009,2018,C,7-0,275,"April 1, 1988",Stanford University,lopezbr01
2444,Felipe Lopez,1999,2002,G,6-5,199,"December 19, 1974",St. John's University,lopezfe01
2445,Raul Lopez,2004,2005,G,6-1,170,"April 15, 1980",,lopezra01
2446,Robin Lopez,2009,2018,C,7-0,255,"April 1, 1988",Stanford University,lopezro01
2447,Ryan Lorthridge,1995,1995,G,6-4,190,"July 27, 1972",Jackson State University,lorthry01
2448,Jim Loscutoff,1956,1964,F,6-5,220,"February 4, 1930",University of Oregon,loscuji01
2449,Plummer Lott,1968,1969,F-G,6-5,210,"December 11, 1945",Seattle University,lottpl01
2450,Kevin Loughery,1963,1973,G,6-3,190,"March 28, 1940",St. John's University,loughke01
2451,Bob Love,1967,1977,F,6-8,215,"December 8, 1942",Southern University and A&M College,lovebo01
2452,Kevin Love,2009,2018,F,6-10,251,"September 7, 1988","University of California, Los Angeles",loveke01
2453,Stan Love,1972,1975,F,6-9,215,"April 9, 1949",University of Oregon,lovest01
2454,Clyde Lovellette,1954,1964,C-F,6-9,234,"September 7, 1929",University of Kansas,lovelcl01
2455,Sidney Lowe,1984,1990,G,6-0,195,"January 21, 1960",North Carolina State University,lowesi01
2456,Charlie Lowery,1972,1972,G,6-3,185,"November 12, 1949",University of Puget Sound,lowerch01
2457,Kyle Lowry,2007,2018,G,6-0,205,"March 25, 1986",Villanova University,lowryky01
2458,Al Lucas,1949,1949,F-G,6-3,195,"July 4, 1922",Fordham University,lucasal01
2459,Jerry Lucas,1964,1974,F-C,6-8,230,"March 30, 1940",Ohio State University,lucasje01
2460,John Lucas,1977,1990,G,6-3,175,"October 31, 1953",University of Maryland,lucasjo01
2461,Kalin Lucas,2015,2015,G,6-1,195,"May 24, 1989",Michigan State University,lucaska01
2462,Maurice Lucas,1975,1988,F-C,6-9,215,"February 18, 1952",Marquette University,lucasma01
2463,John Lucas III,2006,2017,G,5-11,166,"November 21, 1982",Oklahoma State University,lucasjo02
2464,Ted Luckenbill,1962,1963,F,6-6,205,"July 27, 1939",University of Houston,luckete01
2465,Tyronn Lue,1999,2009,G,6-0,175,"May 3, 1977",University of Nebraska,luety01
2466,Jim Luisi,1954,1954,G,6-2,180,"November 2, 1928",St. Francis College,luisiji01
2467,Al Lujack,1947,1947,F,6-3,220,"October 5, 1920",Georgetown University,lujacal01
2468,Phil Lumpkin,1975,1976,G,6-0,165,"December 20, 1951",Miami University,lumpkph01
2469,Ray Lumpp,1949,1953,G,6-1,178,"July 11, 1923",New York University,lumppra01
2470,Timothe Luwawu-Cabarrot,2017,2018,F,6-6,205,"May 9, 1995",,luwawti01
2471,Tyler Lydon,2018,2018,F,6-10,215,"April 9, 1996",Syracuse University,lydonty01
2472,Trey Lyles,2016,2018,F,6-10,234,"November 5, 1995",University of Kentucky,lylestr01
2473,R.B. Lynam,1968,1968,G,6-1,190,,Oklahoma Baptist University,lynamrb01
2474,George Lynch,1994,2005,F,6-8,218,"September 3, 1970",University of North Carolina,lynchge01
2475,Kevin Lynch,1992,1993,G-F,6-5,195,"December 24, 1968",University of Minnesota,lynchke01
2476,Lonnie Lynn,1970,1970,F,6-7,215,"May 24, 1943",Wilberforce University,lynnlo01
2477,Mike Lynn,1970,1971,F,6-7,215,"November 25, 1945","University of California, Los Angeles",lynnmi01
2478,Sheldon Mac,2017,2017,G,6-5,200,"December 21, 1992",University of Miami,mcclesh01
2479,Mike Macaluso,1974,1974,F,6-5,210,"July 20, 1951",Canisius College,macalmi01
2480,Ed Macauley,1950,1959,C-F,6-8,185,"March 22, 1928",Saint Louis University,macaued01
2481,Todd MacCulloch,2000,2003,C,7-0,280,"January 27, 1976",University of Washington,maccuto01
2482,Ronnie MacGilvray,1955,1955,G,6-2,185,"July 20, 1930",St. John's University,macgiro01
2483,Scott Machado,2013,2013,G,6-1,205,"June 8, 1990",Iona College,machasc01
2484,Arvydas Macijauskas,2006,2006,G,6-4,214,"January 19, 1980",,macijar01
2485,Ollie Mack,1980,1982,G,6-3,185,"June 6, 1957",East Carolina University,mackol01
2486,Sam Mack,1993,2002,F-G,6-7,220,"May 26, 1970",University of Houston,macksa01
2487,Shelvin Mack,2012,2018,G,6-3,203,"April 22, 1990",Butler University,macksh01
2488,Malcolm Mackey,1994,1994,F-C,6-9,248,"July 11, 1970",Georgia Institute of Technology,mackema01
2489,Rudy Macklin,1982,1984,F-G,6-7,205,"February 19, 1958",Louisiana State University,macklru01
2490,Vernon Macklin,2012,2012,F,6-10,227,"September 20, 1986",University of Florida,macklve01
2491,Johnny Macknowsky,1950,1951,G-F,6-0,180,"January 7, 1923",Seton Hall University,macknjo01
2492,Don MacLean,1993,2001,F,6-10,235,"January 16, 1970","University of California, Los Angeles",macledo01
2493,Mark Macon,1992,1999,G,6-5,185,"April 14, 1969",Temple University,maconma01
2494,Kyle Macy,1981,1987,G,6-3,175,"April 9, 1957",University of Kentucky,macyky01
2495,Jack Maddox,1949,1949,F-G,6-3,185,"December 10, 1919",West Texas A&M University,maddoja01
2496,Tito Maddox,2003,2003,G,6-4,190,"June 7, 1981","California State University, Fresno",maddoti01
2497,Gerald Madkins,1994,1998,G,6-4,200,"April 18, 1969","University of California, Los Angeles",madkige01
2498,Mark Madsen,2001,2009,F,6-9,240,"January 28, 1976",Stanford University,madsema01
2499,Norm Mager,1951,1951,F,6-5,185,"March 23, 1926",City College of New York,magerno01
2500,Josh Magette,2018,2018,G,6-1,160,"November 28, 1989",Alabama - Huntsville,magetjo01
2501,Corey Maggette,2000,2013,F,6-6,218,"November 12, 1979",Duke University,maggeco01
2502,Dave Magley,1983,1983,F,6-8,202,"November 24, 1959",University of Kansas,magleda01
2503,Jamaal Magloire,2001,2012,C,6-11,259,"May 21, 1978",University of Kentucky,magloja01
2504,Randolph Mahaffey,1968,1971,F,6-7,210,"September 28, 1945",Clemson University,mahafra01
2505,Ian Mahinmi,2008,2018,C,6-11,250,"November 5, 1986",,mahinia01
2506,John Mahnken,1947,1953,C,6-8,220,"June 16, 1922",Georgetown University,mahnkjo01
2507,Brian Mahoney,1973,1973,G,6-3,175,"December 17, 1948",Manhattan College,mahonbr01
2508,Mo Mahoney,1953,1954,F,6-2,205,"November 20, 1927",Brown University,mahonmo01
2509,Rick Mahorn,1981,1999,C-F,6-10,240,"September 21, 1958",Hampton University,mahorri01
2510,Dan Majerle,1989,2002,G-F,6-6,215,"September 9, 1965",Central Michigan University,majerda01
2511,Renaldo Major,2007,2007,F,6-7,200,"May 7, 1982","California State University, Fresno",majorre01
2512,Thon Maker,2017,2018,F-C,7-1,216,"February 25, 1997",,makerth01
2513,Lionel Malamed,1949,1949,G,5-9,150,"November 15, 1924",City College of New York,malamli01
2514,Jeff Malone,1984,1996,G,6-4,205,"June 28, 1961",Mississippi State University,malonje01
2515,Karl Malone,1986,2004,F,6-9,250,"July 24, 1963",Louisiana Tech University,malonka01
2516,Moses Malone,1975,1995,C-F,6-10,215,"March 23, 1955",,malonmo01
2517,Matt Maloney,1997,2003,G,6-3,192,"December 6, 1971",University of Pennsylvania,malonma01
2518,Steve Malovic,1980,1980,F,6-10,230,"July 21, 1956",San Diego State University,malovst01
2519,Mike Maloy,1971,1973,F,6-7,215,"May 10, 1949",Davidson College,maloymi01
2520,Ted Manakas,1974,1974,G,6-2,180,"February 22, 1951",Princeton University,manakte01
2521,John Mandic,1949,1950,F-C,6-4,205,"October 3, 1919",Oregon State University,mandijo01
2522,Frank Mangiapane,1947,1947,G,5-10,195,"August 5, 1925",New York University,mangifr01
2523,Danny Manning,1989,2003,F-C,6-10,230,"May 17, 1966",University of Kansas,mannida01
2524,Ed Manning,1968,1976,F,6-7,210,"January 2, 1944",Jackson State University,mannied01
2525,Guy Manning,1968,1969,F,6-6,195,"February 4, 1944",Prairie View A&M University,mannigu01
2526,Rich Manning,1996,1997,C,6-11,253,"June 23, 1970",University of Washington,manniri01
2527,Pace Mannion,1984,1989,G,6-7,190,"September 22, 1960",University of Utah,mannipa01
2528,Nick Mantis,1960,1963,G,6-3,190,"December 7, 1935",Northwestern University,mantini01
2529,Pete Maravich,1971,1980,G,6-5,197,"June 22, 1947",Louisiana State University,maravpe01
2530,Press Maravich,1947,1947,G,6-0,185,"August 20, 1920",Davis & Elkins College,maravpr01
2531,Devyn Marble,2015,2016,G-F,6-6,200,"September 21, 1992",University of Iowa,marblde01
2532,Roy Marble,1990,1994,G-F,6-6,190,"December 13, 1966",University of Iowa,marblro01
2533,Stephon Marbury,1997,2009,G,6-2,180,"February 20, 1977",Georgia Institute of Technology,marbust01
2534,Sarunas Marciulionis,1990,1997,G,6-5,200,"June 13, 1964",,marcisa01
2535,Saul Mariaschin,1948,1948,G,5-11,165,"September 1, 1924",Harvard University,mariasa01
2536,Jack Marin,1967,1977,F-G,6-7,200,"October 12, 1944",Duke University,marinja01
2537,Shawn Marion,2000,2015,F,6-7,220,"May 7, 1978","University of Nevada, Las Vegas",mariosh01
2538,Boban Marjanovic,2016,2018,C,7-3,290,"August 15, 1988",,marjabo01
2539,Lauri Markkanen,2018,2018,F-C,7-0,230,"May 22, 1997",University of Arizona,markkla01
2540,Damir Markota,2007,2007,C,6-10,225,"December 26, 1985",,markoda01
2541,Sean Marks,1999,2011,F-C,6-10,250,"August 23, 1975",University of California,marksse01
2542,Harvey Marlatt,1971,1973,G,6-3,185,"August 26, 1948",Eastern Michigan University,marlaha01
2543,Jim Marsh,1972,1972,F,6-7,215,"April 26, 1946",University of Southern California,marshji01
2544,Ricky Marsh,1978,1978,G,6-3,200,"March 10, 1954",Manhattan College,marshri01
2545,Donny Marshall,1996,2003,F,6-7,230,"July 17, 1972",University of Connecticut,marshdo02
2546,Donyell Marshall,1995,2009,F,6-9,218,"May 18, 1973",University of Connecticut,marshdo01
2547,Kendall Marshall,2013,2016,G,6-4,200,"August 19, 1991",University of North Carolina,marshke01
2548,Rawle Marshall,2006,2007,G-F,6-9,190,"February 20, 1982",Oakland University,marshra01
2549,Tom Marshall,1955,1959,F-G,6-4,215,"January 6, 1931",Western Kentucky University,marshto01
2550,Vester Marshall,1974,1974,F,6-7,200,"December 22, 1948",University of Oklahoma,marshve01
2551,Bill Martin,1986,1988,F,6-7,205,"August 16, 1962",Georgetown University,martibi01
2552,Bob Martin,1994,1995,C,7-0,250,"October 7, 1969",University of Minnesota,martibo01
2553,Brian Martin,1986,1986,F,6-9,212,"August 18, 1962",University of Kansas,martibr01
2554,Cartier Martin,2009,2015,F,6-7,220,"November 20, 1984",Kansas State University,martica01
2555,Cuonzo Martin,1996,1997,G-F,6-5,213,"September 23, 1971",Purdue University,marticu01
2556,Darrick Martin,1995,2008,G,5-11,170,"March 6, 1971","University of California, Los Angeles",martida01
2557,Dino Martin,1947,1948,G,5-8,160,"May 25, 1920",Georgetown University,martidi01
2558,Don Martin,1947,1949,C-F,6-7,210,"February 7, 1920",Central Missouri State University,martido01
2559,Fernando Martin,1987,1987,C,6-9,220,"March 25, 1962",,martife01
2560,Jarell Martin,2016,2018,F,6-10,239,"May 24, 1994",Louisiana State University,martija01
2561,Jeff Martin,1990,1991,G,6-5,195,"January 14, 1967",Murray State University,martije01
2562,Kenyon Martin,2001,2015,F,6-9,234,"December 30, 1977",University of Cincinnati,martike01
2563,Kevin Martin,2005,2016,G,6-7,199,"February 1, 1983",Western Carolina University,martike02
2564,LaRue Martin,1973,1976,C,6-11,208,"March 30, 1950",Loyola University of Chicago,martila01
2565,Maurice Martin,1987,1988,F-G,6-6,200,"July 2, 1964",Saint Joseph's University,martima01
2566,Phil Martin,1955,1955,G,6-3,190,"April 2, 1928",University of Toledo,martiph01
2567,Slater Martin,1950,1960,G,5-10,170,"October 22, 1925",University of Texas at Austin,martisl01
2568,Whitey Martin,1962,1962,G,6-2,185,"April 11, 1939",St. Bonaventure University,martiwh01
2569,Jamal Mashburn,1994,2004,F,6-8,240,"November 29, 1972",University of Kentucky,mashbja01
2570,Al Masino,1953,1954,G,5-10,174,"February 5, 1928",Canisius College,masinal01
2571,Anthony Mason,1990,2003,F,6-7,250,"December 14, 1966",Tennessee State University,masonan01
2572,Desmond Mason,2001,2010,F,6-7,224,"October 11, 1977",Oklahoma State University,masonde01
2573,Frank Mason,2018,2018,G,6-0,189,"April 3, 1994",University of Kansas,masonfr01
2574,Roger Mason,2003,2014,G,6-5,200,"September 10, 1980",University of Virginia,masonro01
2575,Tony Massenburg,1991,2005,F,6-9,220,"July 31, 1967",University of Maryland,masseto01
2576,Eddie Mast,1971,1973,F-C,6-9,220,"October 3, 1948",Temple University,masted01
2577,Mangok Mathiang,2018,2018,C-F,6-10,230,"October 8, 1992",University of Louisville,mathima01
2578,Johnny Mathis,1968,1968,F,6-6,220,"July 14, 1943",Savannah State University,mathijo01
2579,Wes Matthews,1981,1990,G,6-1,170,"August 24, 1959",University of Wisconsin,matthwe01
2580,Wesley Matthews,2010,2018,G,6-5,220,"October 14, 1986",Marquette University,matthwe02
2581,Ariel Maughan,1947,1951,F,6-4,190,"February 23, 1923",Utah State University,maughar01
2582,Marlon Maxey,1993,1994,F,6-8,250,"February 19, 1969",University of Texas at El Paso,maxeyma01
2583,Jason Maxiell,2006,2015,F,6-7,260,"February 18, 1983",University of Cincinnati,maxieja01
2584,Cedric Maxwell,1978,1988,F,6-8,205,"November 21, 1955",University of North Carolina at Charlotte,maxwece01
2585,Vernon Maxwell,1989,2001,G,6-4,180,"September 12, 1965",University of Florida,maxweve01
2586,Don May,1969,1975,F,6-4,200,"January 3, 1946",University of Dayton,maydo01
2587,Scott May,1977,1983,F,6-7,215,"March 19, 1954",Indiana University,maysc01
2588,Sean May,2006,2010,F,6-9,266,"April 4, 1984",University of North Carolina,mayse01
2589,Lee Mayberry,1993,1999,G,6-1,172,"June 12, 1970",University of Arkansas,maybele01
2590,Clyde Mayes,1976,1977,F,6-8,225,"March 17, 1953",Furman University,mayescl01
2591,Tharon Mayes,1992,1992,G,6-3,175,"September 9, 1968",Florida State University,mayesth01
2592,Bill Mayfield,1981,1981,F,6-7,205,"October 17, 1957",University of Iowa,mayfibi01
2593,Ken Mayfield,1976,1976,G,6-2,185,"May 11, 1948",Tuskegee University,mayfike01
2594,Eric Maynor,2010,2014,G,6-3,175,"June 11, 1987",Virginia Commonwealth University,maynoer01
2595,O.J. Mayo,2009,2016,G,6-5,210,"November 5, 1987",University of Southern California,mayooj01
2596,Travis Mays,1991,1993,G,6-2,190,"June 19, 1968",University of Texas at Austin,maystr01
2597,Matt Mazza,1950,1950,F,6-3,210,"September 23, 1923",Michigan State University,mazzama01
2598,Luc Mbah a Moute,2009,2018,F,6-8,230,"September 9, 1986","University of California, Los Angeles",mbahalu01
2599,Bob McAdoo,1973,1986,C-F,6-9,210,"September 25, 1951",University of North Carolina,mcadobo01
2600,James Michael McAdoo,2015,2018,F,6-9,230,"January 4, 1993",University of North Carolina,mcadoja01
2601,Ken McBride,1955,1955,G-F,6-3,190,,University of Maryland Eastern Shore,mcbrike01
2602,Ray McCallum,2014,2016,G,6-3,190,"June 12, 1991",University of Detroit Mercy,mccalra01
2603,Bob McCann,1990,1998,F,6-6,244,"April 22, 1964",Morehead State University,mccanbo01
2604,Brendan McCann,1958,1960,G,6-2,178,"July 5, 1935",St. Bonaventure University,mccanbr01
2605,Mel McCants,1990,1990,F,6-8,240,"August 19, 1967",Purdue University,mccanme01
2606,Rashad McCants,2006,2009,G,6-4,207,"September 25, 1984",University of North Carolina,mccanra01
2607,Mike McCarron,1947,1950,G,5-11,180,"March 2, 1922",Seton Hall University,mccarmi01
2608,Andre McCarter,1977,1981,G,6-3,190,"August 25, 1953","University of California, Los Angeles",mccaran01
2609,Willie McCarter,1970,1972,G,6-3,175,"July 26, 1946",Drake University,mccarwi01
2610,Johnny McCarthy,1957,1964,G,6-1,185,"April 25, 1934",Canisius College,mccarjo01
2611,Howie McCarty,1947,1947,F-G,6-2,190,,Wayne State University,mccarho01
2612,Kelly McCarty,1999,1999,G-F,6-7,200,"August 24, 1975",University of Southern Mississippi,mccarke01
2613,Walter McCarty,1997,2006,F,6-10,230,"February 1, 1974",University of Kentucky,mccarwa01
2614,Amal McCaskill,1997,2004,F-C,6-11,235,"October 28, 1973",Marquette University,mccasam01
2615,Patrick McCaw,2017,2018,G,6-7,185,"October 25, 1995","University of Nevada, Las Vegas",mccawpa01
2616,Dwayne McClain,1986,1986,G,6-6,185,"February 7, 1963",Villanova University,mccladw01
2617,Ted McClain,1972,1979,G,6-1,180,"August 30, 1946",Tennessee State University,mcclate01
2618,Dan McClintock,2001,2001,C,7-0,270,"April 19, 1977",Northern Arizona University,mcclida01
2619,Jack McCloskey,1953,1953,G,6-2,190,"September 19, 1925",University of Pennsylvania,mccloja01
2620,George McCloud,1990,2002,G-F,6-6,205,"May 27, 1967",Florida State University,mccloge01
2621,C.J. McCollum,2014,2018,G,6-3,190,"September 19, 1991",Lehigh University,mccolcj01
2622,John McConathy,1952,1952,F,6-5,195,"April 9, 1930",Northwestern State University,mcconjo01
2623,Bucky McConnell,1953,1953,G,5-10,170,"July 1, 1928",Marshall University,mcconbu01
2624,T.J. McConnell,2016,2018,G,6-2,200,"March 25, 1992",University of Arizona,mccontj01
2625,Keith McCord,1981,1981,G,6-7,210,"June 22, 1957",University of Alabama at Birmingham,mccorke01
2626,Tim McCormick,1985,1992,C,6-11,240,"March 10, 1962",University of Michigan,mccorti01
2627,Jelani McCoy,1999,2008,C,6-10,245,"December 6, 1977","University of California, Los Angeles",mccoyje01
2628,Paul McCracken,1973,1977,G,6-4,180,"September 11, 1950","California State University, Northridge",mccrapa01
2629,Chris McCray,2007,2007,G,6-5,192,"May 27, 1984",University of Maryland,mccrach01
2630,Rodney McCray,1984,1993,F-G,6-7,220,"August 29, 1961",University of Louisville,mccraro01
2631,Scooter McCray,1984,1987,F-G,6-9,215,"February 8, 1960",University of Louisville,mccrasc01
2632,Chris McCullough,2016,2018,F,6-11,200,"February 5, 1995",Syracuse University,mcculch01
2633,John McCullough,1982,1982,G,6-4,190,"October 5, 1956",University of Oklahoma,mcculjo01
2634,Clint McDaniel,1996,1996,G,6-4,180,"February 26, 1972",University of Arkansas,mcdancl01
2635,Xavier McDaniel,1986,1998,F,6-7,205,"June 4, 1963",Wichita State University,mcdanxa01
2636,Jim McDaniels,1972,1978,C-F,6-11,228,"April 2, 1948",Western Kentucky University,mcdanji01
2637,K.J. McDaniels,2015,2017,G-F,6-6,205,"February 9, 1993",Clemson University,mcdankj01
2638,Doug McDermott,2015,2018,F,6-8,225,"January 3, 1992",Creighton University,mcderdo01
2639,Ben McDonald,1986,1989,F,6-8,210,"July 20, 1962","University of California, Irvine",mcdonbe01
2640,Glenn McDonald,1975,1977,F-G,6-6,190,"March 18, 1952","California State University, Long Beach",mcdongl01
2641,Michael McDonald,1998,1998,C,6-10,232,"February 13, 1969",University of New Orleans,mcdonmi01
2642,Roderick McDonald,1971,1973,F,6-6,205,"April 9, 1945",Whitworth,mcdonro01
2643,Hank McDowell,1982,1987,F-C,6-9,215,"November 13, 1959",University of Memphis,mcdowha01
2644,Antonio McDyess,1996,2011,F-C,6-9,220,"September 7, 1974",University of Alabama,mcdyean01
2645,Jim McElroy,1976,1982,G,6-3,190,"October 4, 1953",Central Michigan University,mcelrji01
2646,Patrick McFarland,1974,1976,F-G,6-5,185,"December 7, 1951",Saint Joseph's University,mcfarpa01
2647,Ivan McFarlin,2007,2007,F,6-8,240,"April 26, 1982",Oklahoma State University,mcfariv01
2648,Mel McGaha,1949,1949,G,6-1,190,"September 26, 1926",University of Arkansas,mcgahme01
2649,Mitch McGary,2015,2016,F-C,6-10,255,"June 6, 1992",University of Michigan,mcgarmi01
2650,JaVale McGee,2009,2018,C,7-0,270,"January 19, 1988","University of Nevada, Reno",mcgeeja01
2651,Mike McGee,1982,1990,G-F,6-5,190,"July 29, 1959",University of Michigan,mcgeemi01
2652,Bill McGill,1963,1970,C-F,6-9,225,"September 16, 1939",University of Utah,mcgilbi01
2653,George McGinnis,1972,1982,F-C,6-8,235,"August 12, 1950",Indiana University,mcginge01
2654,Jon McGlocklin,1966,1976,G-F,6-5,205,"June 10, 1943",Indiana University,mcglojo01
2655,Tracy McGrady,1998,2012,F-G,6-8,210,"May 24, 1979",,mcgratr01
2656,Gil McGregor,1972,1972,F,6-8,240,"June 14, 1949",Wake Forest University,mcgregi01
2657,Elton McGriff,1968,1969,C,6-9,225,"August 21, 1942",Creighton University,mcgriel01
2658,Rodney McGruder,2017,2017,G,6-4,205,"July 29, 1991",Kansas State University,mcgruro01
2659,Alfred McGuire,1952,1955,G-F,6-2,180,"September 7, 1928",St. John's University,mcguial01
2660,Allie McGuire,1974,1974,G,6-3,175,"July 10, 1951",Marquette University,mcguial02
2661,Dick McGuire,1950,1960,G,6-0,180,"January 25, 1926",St. John's University,mcguidi01
2662,Dominic McGuire,2008,2013,F,6-9,220,"October 20, 1985","California State University, Fresno",mcguido01
